star_rating,star_count,star_pct,helpful_votes,total_votes,helpful_avg,helpful_ratio
1,151702,0.1678,911501,2057975,6.0085,0.4429
2,67823,0.075,310776,564850,4.5822,0.5502
3,93924,0.1039,408177,657029,4.3458,0.6212
4,159358,0.1763,687691,954416,4.3154,0.7205
5,431089,0.4769,1706969,2462313,3.9597,0.6932
